~Water~,0,3.7,2.7,3.7,2.7,3.7,2.7,3.7,2.7
~Protein~,1,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66
~Fiber_TD~,2,14,14,14,14,14,14,14,14
~Carbohydrt~,6,130,130,130,130,130,130,130,130
~Vit_A_RAE~,4,900,700,900,700,900,700,900,700
~Vit_C~,3,90,75,90,75,90,75,90,75
~Vit_D_ug~,4,15,15,15,20,15,15,15,20
~Vit_D_IU~,5,600,600,600,800,600,600,600,800
~Vit_E~,3,15,15,15,15,15,15,15,15
~Vit_K~,4,120,90,120,90,120,90,120,90
~Thiamin~,3,1.2,1.1,1.2,1.1,1.2,1.1,1.2,1.1
~Riboflavin~,3,1.3,1.1,1.3,1.1,1.3,1.1,1.3,1.1
~Niacin~,3,16,14,16,14,16,14,16,14
~Vit_B6~,3,1.3,1.3,1.3,1.3,1.7,1.5,1.7,1.5
~Folate_Tot~,4,400,400,400,400,400,400,400,400
~Vit_B12~,4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
~Panto_acid~,3,5,5,5,5,5,5,5,5
~Calcium~,3,1000,1000,1000,1000,1200,1200,1200,1200
~Iron~,3,8,18,8,18,8,8,8,8
~Sodium~,6,1.5,1.5,1.5,1.5,1.3,1.3,1.2,1.2
~Selenium~,4,55,55,55,55,55,55,55,55
~Magnesium~,3,350,350,350,350,350,350,350,350
~Sugar_Tot~,6,36,20,36,20,36,20,36,20
~Copper~,4,900,900,900,900,900,900,900,900
~Manganese~,3,2.3,1.8,2.3,1.8,2.3,1.8,2.3,1.8
~Potassium~,6,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7
~Zinc~,3,11,8,11,8,11,8,11,8
~Phosphorus~,3,700,700,700,700,700,700,700,700
